Genre.1,posts,total_reach,median_reach,mean_reach,lift_vs_filtered_median_pct,language
Current-Affairs,5,255.0,51.0,51.0,0.0,ta
Politics,29,1467.0,51.0,50.58620689655172,0.0,ta
