Genre.1,posts,total_reach,reach_share_pct,cum_reach_pct,language
Crime,56,1243654,33.936381053319224,33.936381053319224,en
Entertainment,180,1230499,33.57741216586628,67.5137932191855,en
Off-beat,71,568995,15.526529997437692,83.0403232166232,en
Current-Affairs,136,338327,9.232144947570896,92.2724681641941,en
Sports,77,162171,4.425263659987289,96.69773182418139,en
International Politics,30,55007,1.5010111434530269,98.19874296763442,en
Lifestyle,8,33916,0.9254875550630439,99.12423052269746,en
Politics,18,32094,0.8757694773025515,100.00000000000001,en
