Genre.1,posts,pct_above_median
Sports,48,75.0
Entertainment,131,65.64885496183206
Off-beat,48,58.333333333333336
Current-Affairs,143,47.55244755244755
Crime,38,36.84210526315789
International Politics,19,26.31578947368421
Politics,55,16.363636363636363
Business,14,14.285714285714285
