Genre.1,posts,total_reach,median_reach,mean_reach,lift_vs_filtered_median_pct,language
International Politics,10,722806,25151.5,72280.6,230.07217847769027,en
Crime,49,3315882,19854.0,67671.0612244898,160.5511811023622,en
Entertainment,103,1478499,7608.0,14354.359223300971,-0.15748031496063408,en
Sports,45,712488,7545.0,15833.066666666668,-0.9842519685039353,en
Off-beat,37,6441958,7402.0,174106.97297297296,-2.8608923884514414,en
Current-Affairs,91,1697345,5245.0,18652.14285714286,-31.16797900262467,en
Lifestyle,8,938982,4161.0,117372.75,-45.39370078740157,en
