Genre.1,Emotions.1,posts,total_reach,reach_share_pct,cum_reach_pct,language
Crime,Shock -VE,16,1588952,63.11446107598909,63.11446107598909,hi
Current-Affairs,Shock -VE,13,299650,11.902340826796612,75.0168019027857,hi
Crime,Anger/ Rage,10,199108,7.908731110768629,82.92553301355433,hi
Off-beat,Shock -VE,12,154131,6.1222082228432795,89.04774123639761,hi
Entertainment,Controvery,8,97658,3.879054898926426,92.92679613532404,hi
Off-beat,Surprise +VE,10,85822,3.408919387409774,96.3357155227338,hi
Off-beat,Funny/ Laughter,9,67986,2.700459013684614,99.03617453641841,hi
Current-Affairs,Breaking News,18,14991,0.5954546682279593,99.63162920464637,hi
Current-Affairs,Wow! Amazing!,8,9274,0.3683707953536185,99.99999999999999,hi
