Genre.1,posts,total_reach,reach_share_pct,cum_reach_pct,language
Politics,54,2098,32.43661100803958,32.43661100803958,ta
Entertainment,23,1497,23.14471243042672,55.5813234384663,ta
Curent-Affairs,43,1260,19.480519480519483,75.06184291898577,ta
Lifestyle,27,596,9.214594928880643,84.27643784786642,ta
Crime,18,533,8.240568954854668,92.51700680272108,ta
Off-beat,17,484,7.482993197278912,100.0,ta
